ordinal_id,geo_id,volume
232,504403570582355984,Pixel::NegativeEndcap
233,504403570582355985,Pixel::NegativeEndcap
234,504403570582355986,Pixel::NegativeEndcap
235,504403570582355987,Pixel::NegativeEndcap
236,504403570582355988,Pixel::NegativeEndcap
237,504403570582355989,Pixel::NegativeEndcap
238,504403570582355990,Pixel::NegativeEndcap
239,504403570582355991,Pixel::NegativeEndcap
240,504403570582355992,Pixel::NegativeEndcap
241,504403570582355993,Pixel::NegativeEndcap
242,504403570582355994,Pixel::NegativeEndcap
243,504403570582355995,Pixel::NegativeEndcap
244,504403570582355996,Pixel::NegativeEndcap
245,504403570582355997,Pixel::NegativeEndcap
246,504403570582355998,Pixel::NegativeEndcap
247,504403570582355999,Pixel::NegativeEndcap
248,504403570582356000,Pixel::NegativeEndcap
249,504403570582356001,Pixel::NegativeEndcap
250,504403570582356002,Pixel::NegativeEndcap
251,504403570582356003,Pixel::NegativeEndcap
252,504403570582356004,Pixel::NegativeEndcap
253,504403570582356005,Pixel::NegativeEndcap
254,504403570582356006,Pixel::NegativeEndcap
255,504403570582356007,Pixel::NegativeEndcap
256,504403570582356008,Pixel::NegativeEndcap
257,504403570582356009,Pixel::NegativeEndcap
258,504403570582356010,Pixel::NegativeEndcap
259,504403570582356011,Pixel::NegativeEndcap
260,504403570582356012,Pixel::NegativeEndcap
261,504403570582356013,Pixel::NegativeEndcap
262,504403570582356014,Pixel::NegativeEndcap
263,504403570582356015,Pixel::NegativeEndcap
264,504403570582356016,Pixel::NegativeEndcap
265,504403570582356017,Pixel::NegativeEndcap
266,504403570582356018,Pixel::NegativeEndcap
267,504403570582356019,Pixel::NegativeEndcap
268,504403570582356020,Pixel::NegativeEndcap
269,504403570582356021,Pixel::NegativeEndcap
270,504403570582356022,Pixel::NegativeEndcap
271,504403570582356023,Pixel::NegativeEndcap
272,504403570582356024,Pixel::NegativeEndcap
273,504403570582356025,Pixel::NegativeEndcap
274,504403570582356026,Pixel::NegativeEndcap
275,504403570582356027,Pixel::NegativeEndcap
276,504403570582356028,Pixel::NegativeEndcap
277,504403570582356029,Pixel::NegativeEndcap
278,504403570582356030,Pixel::NegativeEndcap
279,504403570582356031,Pixel::NegativeEndcap
280,504403570582356032,Pixel::NegativeEndcap
281,504403570582356033,Pixel::NegativeEndcap
282,504403570582356034,Pixel::NegativeEndcap
283,504403570582356035,Pixel::NegativeEndcap
284,504403570582356036,Pixel::NegativeEndcap
285,504403570582356037,Pixel::NegativeEndcap
286,504403570582356038,Pixel::NegativeEndcap
287,504403570582356039,Pixel::NegativeEndcap
